first_name,last_name,full_name,dob,player_id,image_link,season,college,team,awards,pos,ap_1,ap_2,ap,pb,opoy_top5,opoy_votes,opoy,oroy_top5,oroy_votes,oroy,cpoy_top5,cpoy_votes,cpoy,mvp_top5,mvp_votes,mvp,fan_pts,pass_yds,pass_td,pass_int,pass_lng,qbr,pass_rating,cmp_pct,rush_yds,rush_lng,rush_ypa,rush_ypg,rush_td,rec,rec_yds,rec_td,rec_lng,rec_ypg,touches,scrim_yds,tot_td,fmb,playoff_rush_yds,playoff_rush_td,playoff_rush_lng,playoff_rec_yds,playoff_rec_td,playoff_rec_lng,playoff_scrim_yds,playoff_fmb,playoff_pass_int,playoff_pass_yds,playoff_pass_td,playoff_pass_rating,playoff_pass_lng,sb_champ,sb_mvp,sb_champ_any,sb_mvp_any,mvp_top5_any,mvp_any,oroy_any,opoy_any,opoy_top5_any,ap_1_any,ap_2_any,ap_any,pb_any,cpoy_top5_any,cpoy_any,career_rush_yds,career_rec,career_rec_yds,career_rush_td,career_rec_td,career_pass_yds,career_pass_td
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1979,"[""Henderson St.""]",STL,,SS,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,1,15,0,15,0.9,1,15,0,4,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1980,"[""Henderson St.""]",STL,,FS,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,0,,,0.0,0,0,0,0,,0.0,0,0,0,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1981,"[""Henderson St.""]",STL,,SS,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,,,,,,,,,60,44,20.0,3.8,1,33,708,4,60,44.3,36,768,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1982,"[""Henderson St.""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,63,0,0,0,,,39.6,0.0,8,13,1.3,0.9,0,32,453,3,42,50.3,38,461,3,1,4,0,4,113,0,29,117,0,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1983,"[""Henderson St.""]",STL,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,209,,,,,,,,49,25,12.3,3.1,0,78,1227,14,71,76.7,82,1276,14,3,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1984,"[""Henderson St.""]",STL,PB AP-1,WR,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,226,,,,,,,,-10,-10,-10.0,-0.6,0,78,1555,12,83,97.2,79,1545,12,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1985,"[""Henderson St.""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,98,,,,,,,,2,2,2.0,0.2,0,50,693,5,47,53.3,51,695,5,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1986,"[""Henderson St.""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,86,,,,,,,,-4,1,-2.0,-0.4,0,42,517,6,48,47.0,44,513,6,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1987,"[""Henderson St.""]",STL,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,100,,,,,,,,34,26,17.0,2.8,0,43,731,4,57,60.9,45,765,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1988,"[""Henderson St.""]",PHO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,152,,,,,,,,1,18,0.3,0.1,0,68,1097,7,52,68.6,72,1098,7,0,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1989,"[""Henderson St.""]",PHO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,110,,,,,,,,0,,,0.0,0,44,703,7,59,58.6,44,703,7,2,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
Roy,Green,Roy Green,06/30/1957,GreeRo01,https://cdn.ssref.net/req/202602161/logos/pfr-logo.svg,1990,"[""Henderson St.""]",PHO,,WR,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,104,20,0,0,20,,118.7,100.0,0,,,0.0,0,53,797,4,54,49.8,53,797,4,1,,,,,,,,,,,,,,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,140,559,8965,1,66,20,0
